District,Scrub lands,Banns lands,Open forest,Sand,Homestad/Gardens,Sparsely used crop lands,Grass lands,Palmyrah,Coconut,Total
AMPARA,40.531,22.55,103.705,1.285,,,,-,-,168371
ANURADHAPURA,117.222,8.154,70.543,-,961,1.143,,-,3,198126
BADULLA,126.647,3.742,127.656,-,,,,-,,258345
BATTICALOA,58251,16856,24325,892,,-,,-,-,100324
COLOMBO,1.066,162,861,191,,-,-,-,-,2.279
GALLE,6454,181,5941,252,,-,,-,-,12828
GAMPAHA,5.121,746,1.57,375,,-,,-,,7.811
HAMBANTOTA,53.217,2.222,37.456,1.555,,-,-,-,-,94250
JAFFNA,9.928,7.75,1.096,5.92,34.778,3.313,2.449,701,874,66208
KALUTARA,16.468,151,14.08,239,,-,-,-,,30.938
KANDY,22.448,1.122,87.944,-,,-,-,-,,111.515
KEGALLE,12.522,469,14.235,-,-,-,-,-,,27526
KILINOCHCHI,13.96,7.806,8.508,2.53,17.516,5.742,21,469,1.705,58256
KURUNEGALA,38.396,1.027,20.206,1,-,-,-,-,-,59.63
MANNAR,32532,9391,17940,465,8.715,4523,227,737,849,75379
MATALE,31.047,2.93,112.991,-,-,-,-,-,,146.968
MATARA,2.174,108,1.66,137,-,-,,-,,41178
MONERAGALA,202.953,1.844,145.499,-,-,,,-,-,350.296
MULLAITIVU,27.621,5.902,29.933,642,16.716,6.505,402,-,1.029,88.749
NUWARA ELIYA,33.582,555,52.807,,-,,,-,-,86.944
POLONNARUWA,60.743,10.996,57.998,-,,-,,-,-,129.737
PUTTALAM,42.66,5.65,18.174,2.332,,-,,.,-,68217
RATNAPURA,62.244,1.883,67.576,-,,,,-,-,131.703
TRINCOMALEE,46.942,18.139,62.628,563,-,4,,-,-,128.275
VAVUNIYA,23.978,2.427,13.487,-,21.268,12.934,1.044,-,108,75247
